No,nama_makanan,kategori,berat_gr,kalori,protein
54,Ikan Teri Tumis,hewani,100,243.58,25.03
54,Ikan Teri Tumis,hewani,200,562.17,45.06
54,Ikan Teri Tumis,hewani,300,845.14,83.67
55,Paru Sapi Kecap,hewani,100,158.59,23.72
55,Paru Sapi Kecap,hewani,200,314.26,48.16
55,Paru Sapi Kecap,hewani,300,887.51,51.18
56,Kerang Saus Padang Sambal,hewani,100,245.59,16.28
56,Kerang Saus Padang Sambal,hewani,200,439.77,31.41
56,Kerang Saus Padang Sambal,hewani,300,851.21,48.21
57,Ikan Mujair Rebus,hewani,100,183.77,16.54
57,Ikan Mujair Rebus,hewani,200,444.32,54.22
57,Ikan Mujair Rebus,hewani,300,688.87,55.1
58,Ikan Nila Bakar,hewani,100,173.81,25.65
58,Ikan Nila Bakar,hewani,200,429.79,45.99
58,Ikan Nila Bakar,hewani,300,503.83,49.68
59,Semur Daging Rebus,hewani,100,204.06,18.91
59,Semur Daging Rebus,hewani,200,590.76,49.51
59,Semur Daging Rebus,hewani,300,544.41,53.32
60,Daging Sapi Balado,hewani,100,264.1,24.79
60,Daging Sapi Balado,hewani,200,487.17,43.0
60,Daging Sapi Balado,hewani,300,768.62,87.29
61,Telur Balado Tumis,hewani,100,240.66,25.89
61,Telur Balado Tumis,hewani,200,498.21,58.82
61,Telur Balado Tumis,hewani,300,890.34,62.98
62,Ayam Bakar Tumis,hewani,100,211.23,21.23
62,Ayam Bakar Tumis,hewani,200,307.61,54.8
62,Ayam Bakar Tumis,hewani,300,733.64,75.55
63,Opor Ayam Balado,hewani,100,252.73,17.68
63,Opor Ayam Balado,hewani,200,384.68,36.16
63,Opor Ayam Balado,hewani,300,757.19,45.21
64,Ikan Bandeng Sambal,hewani,100,151.1,27.08
64,Ikan Bandeng Sambal,hewani,200,343.35,42.86
64,Ikan Bandeng Sambal,hewani,300,465.48,87.18
65,Opor Ayam Bakar,hewani,100,234.1,17.1
65,Opor Ayam Bakar,hewani,200,344.36,36.56
65,Opor Ayam Bakar,hewani,300,488.56,56.68
66,Ayam Kampung Tumis,hewani,100,193.07,20.14
66,Ayam Kampung Tumis,hewani,200,311.1,32.78
66,Ayam Kampung Tumis,hewani,300,565.29,74.04
67,Soto Ayam Sambal,hewani,100,211.26,21.13
67,Soto Ayam Sambal,hewani,200,463.47,55.41
67,Soto Ayam Sambal,hewani,300,883.65,54.73
68,Ayam Bakar Kecap,hewani,100,247.42,19.68
68,Ayam Bakar Kecap,hewani,200,591.33,35.94
68,Ayam Bakar Kecap,hewani,300,466.22,61.7
69,Hati Ayam Bakar,hewani,100,215.73,27.63
69,Hati Ayam Bakar,hewani,200,341.27,49.34
69,Hati Ayam Bakar,hewani,300,626.54,57.47
70,Pepes Ikan Sambal,hewani,100,196.31,29.25
70,Pepes Ikan Sambal,hewani,200,364.98,50.91
70,Pepes Ikan Sambal,hewani,300,636.09,51.43
71,Sop Buntut Tumis,hewani,100,186.99,28.61
71,Sop Buntut Tumis,hewani,200,343.57,31.72
71,Sop Buntut Tumis,hewani,300,834.43,55.71
72,Daging Kambing Goreng,hewani,100,263.34,18.3
72,Daging Kambing Goreng,hewani,200,596.91,47.09
72,Daging Kambing Goreng,hewani,300,574.08,86.58
73,Telur Dadar Padang Goreng,hewani,100,170.61,24.06
73,Telur Dadar Padang Goreng,hewani,200,508.18,49.05
73,Telur Dadar Padang Goreng,hewani,300,849.69,56.71
74,Bakso Sapi Kecap,hewani,100,224.36,20.71
74,Bakso Sapi Kecap,hewani,200,399.93,55.46
74,Bakso Sapi Kecap,hewani,300,773.39,49.95
75,Ayam Kampung Goreng,hewani,100,226.53,18.76
75,Ayam Kampung Goreng,hewani,200,544.25,58.65
75,Ayam Kampung Goreng,hewani,300,585.46,81.12
76,Susu Sapi Kuah,hewani,100,252.38,23.26
76,Susu Sapi Kuah,hewani,200,425.28,34.92
76,Susu Sapi Kuah,hewani,300,540.26,89.98
77,Hati Ayam Tumis,hewani,100,250.24,15.09
77,Hati Ayam Tumis,hewani,200,466.81,48.98
77,Hati Ayam Tumis,hewani,300,878.35,72.6
78,Udang Balado Kecap,hewani,100,281.64,24.06
78,Udang Balado Kecap,hewani,200,388.49,39.96
78,Udang Balado Kecap,hewani,300,535.45,51.75
79,Pindang Patin Rebus,hewani,100,212.7,18.17
79,Pindang Patin Rebus,hewani,200,358.93,37.39
79,Pindang Patin Rebus,hewani,300,577.07,85.28
80,Daging Kambing Kecap,hewani,100,226.22,24.86
80,Daging Kambing Kecap,hewani,200,364.53,44.15
80,Daging Kambing Kecap,hewani,300,693.92,45.09
81,Kepiting Goreng,hewani,100,234.49,24.64
81,Kepiting Goreng,hewani,200,469.75,46.24
81,Kepiting Goreng,hewani,300,876.67,63.48
82,Kerang Dara Tumis,hewani,100,282.2,18.7
82,Kerang Dara Tumis,hewani,200,301.78,55.66
82,Kerang Dara Tumis,hewani,300,798.32,74.58
83,Ayam Kampung Kuah,hewani,100,258.55,26.47
83,Ayam Kampung Kuah,hewani,200,528.75,58.07
83,Ayam Kampung Kuah,hewani,300,554.01,85.71
84,Telur Puyuh Rebus,hewani,100,173.68,29.52
84,Telur Puyuh Rebus,hewani,200,371.73,40.57
84,Telur Puyuh Rebus,hewani,300,896.75,76.11
85,Ayam Penyet Kecap,hewani,100,250.91,18.33
85,Ayam Penyet Kecap,hewani,200,454.88,52.8
85,Ayam Penyet Kecap,hewani,300,865.14,77.06
86,Ayam Kampung Balado,hewani,100,266.19,17.95
86,Ayam Kampung Balado,hewani,200,491.41,57.7
86,Ayam Kampung Balado,hewani,300,785.14,66.49
87,Cumi Rebus,hewani,100,247.09,28.86
87,Cumi Rebus,hewani,200,533.67,45.06
87,Cumi Rebus,hewani,300,640.12,82.03
88,Kerang Dara Goreng,hewani,100,240.57,27.88
88,Kerang Dara Goreng,hewani,200,324.27,33.78
88,Kerang Dara Goreng,hewani,300,710.5,72.65
89,Ikan Tongkol Kecap,hewani,100,173.49,21.65
89,Ikan Tongkol Kecap,hewani,200,489.57,40.48
89,Ikan Tongkol Kecap,hewani,300,571.05,71.63
90,Kerang Dara Kuah,hewani,100,243.22,21.46
90,Kerang Dara Kuah,hewani,200,406.01,34.34
90,Kerang Dara Kuah,hewani,300,818.15,79.56
91,Ikan Mujair Tumis,hewani,100,180.56,28.09
91,Ikan Mujair Tumis,hewani,200,389.51,55.23
91,Ikan Mujair Tumis,hewani,300,554.6,47.77
92,Kerang Saus Padang Kuah,hewani,100,295.79,25.39
92,Kerang Saus Padang Kuah,hewani,200,313.55,45.2
92,Kerang Saus Padang Kuah,hewani,300,861.95,46.56
93,Telur Dadar Padang Kecap,hewani,100,256.04,17.64
93,Telur Dadar Padang Kecap,hewani,200,444.52,39.46
93,Telur Dadar Padang Kecap,hewani,300,796.16,82.47
94,Ayam Taliwang Rebus,hewani,100,229.86,18.98
94,Ayam Taliwang Rebus,hewani,200,480.47,45.56
94,Ayam Taliwang Rebus,hewani,300,811.22,88.45
95,Cumi Goreng Tepung Rebus,hewani,100,294.45,21.78
95,Cumi Goreng Tepung Rebus,hewani,200,337.47,40.22
95,Cumi Goreng Tepung Rebus,hewani,300,621.12,51.63
96,Bakso Sapi Tumis,hewani,100,284.63,23.71
96,Bakso Sapi Tumis,hewani,200,394.1,39.31
96,Bakso Sapi Tumis,hewani,300,691.18,47.24
97,Daging Sapi Sambal,hewani,100,272.69,22.66
97,Daging Sapi Sambal,hewani,200,365.22,58.81
97,Daging Sapi Sambal,hewani,300,687.64,46.38
98,Ikan Gurame Goreng,hewani,100,298.64,16.05
98,Ikan Gurame Goreng,hewani,200,417.78,31.81
98,Ikan Gurame Goreng,hewani,300,833.16,56.88
99,Ayam Penyet Balado,hewani,100,171.22,23.8
99,Ayam Penyet Balado,hewani,200,547.96,57.72
99,Ayam Penyet Balado,hewani,300,720.19,54.38
100,Cumi Bakar,hewani,100,175.41,23.27
100,Cumi Bakar,hewani,200,569.53,43.22
100,Cumi Bakar,hewani,300,545.96,51.68
101,Ikan Patin Goreng,hewani,100,248.93,16.01
101,Ikan Patin Goreng,hewani,200,415.0,42.26
101,Ikan Patin Goreng,hewani,300,683.69,87.23
102,Soto Ayam Goreng,hewani,100,166.21,29.61
102,Soto Ayam Goreng,hewani,200,415.91,54.36
102,Soto Ayam Goreng,hewani,300,776.2,89.92
103,Ikan Bandeng Kecap,hewani,100,200.43,24.53
103,Ikan Bandeng Kecap,hewani,200,536.62,39.74
103,Ikan Bandeng Kecap,hewani,300,830.82,58.34
104,Ikan Lele Kuah,hewani,100,243.77,18.23
104,Ikan Lele Kuah,hewani,200,503.88,53.92
104,Ikan Lele Kuah,hewani,300,605.79,87.68
105,Kepiting Rebus,hewani,100,206.99,27.28
105,Kepiting Rebus,hewani,200,526.72,30.05
105,Kepiting Rebus,hewani,300,482.86,57.8
106,Bakso Sapi Rebus,hewani,100,251.69,26.51
106,Bakso Sapi Rebus,hewani,200,410.52,41.9
106,Bakso Sapi Rebus,hewani,300,625.58,54.7
107,Daging Kambing Kuah,hewani,100,231.41,22.06
107,Daging Kambing Kuah,hewani,200,548.27,32.51
107,Daging Kambing Kuah,hewani,300,664.35,88.17
108,Ayam Geprek Goreng,hewani,100,261.74,15.28
108,Ayam Geprek Goreng,hewani,200,420.86,45.29
108,Ayam Geprek Goreng,hewani,300,556.69,83.82
109,Rendang Balado,hewani,100,157.95,28.65
109,Rendang Balado,hewani,200,322.24,46.98
109,Rendang Balado,hewani,300,869.85,75.69
110,Ikan Asin Jambal Kuah,hewani,100,288.08,19.47
110,Ikan Asin Jambal Kuah,hewani,200,529.73,48.17
110,Ikan Asin Jambal Kuah,hewani,300,799.28,70.27
111,Kepiting Bakar,hewani,100,228.46,28.09
111,Kepiting Bakar,hewani,200,347.7,55.54
111,Kepiting Bakar,hewani,300,775.59,83.36
112,Abon Sapi Goreng,hewani,100,189.65,22.36
112,Abon Sapi Goreng,hewani,200,381.25,34.71
112,Abon Sapi Goreng,hewani,300,689.62,79.18
113,Empal Gepuk Rebus,hewani,100,266.86,20.85
113,Empal Gepuk Rebus,hewani,200,311.74,30.0
113,Empal Gepuk Rebus,hewani,300,748.55,63.29
114,Soto Ayam Bakar,hewani,100,156.18,24.39
114,Soto Ayam Bakar,hewani,200,418.61,59.22
114,Soto Ayam Bakar,hewani,300,658.87,55.05
115,Kerang Dara Bakar,hewani,100,269.39,23.76
115,Kerang Dara Bakar,hewani,200,424.8,32.44
115,Kerang Dara Bakar,hewani,300,681.96,50.36
116,Paru Sapi Balado,hewani,100,206.9,29.03
116,Paru Sapi Balado,hewani,200,506.23,42.43
116,Paru Sapi Balado,hewani,300,466.44,52.0
117,Telur Ayam Rebus,hewani,100,291.67,26.85
117,Telur Ayam Rebus,hewani,200,473.56,56.15
117,Telur Ayam Rebus,hewani,300,594.91,88.47
118,Telur Bebek Tumis,hewani,100,188.94,17.3
118,Telur Bebek Tumis,hewani,200,376.05,49.57
118,Telur Bebek Tumis,hewani,300,721.41,47.52
119,Ayam Penyet Goreng,hewani,100,192.46,19.53
119,Ayam Penyet Goreng,hewani,200,386.06,56.11
119,Ayam Penyet Goreng,hewani,300,798.61,65.56
120,Susu Kambing Balado,hewani,100,244.73,29.66
120,Susu Kambing Balado,hewani,200,462.87,37.83
120,Susu Kambing Balado,hewani,300,854.43,69.66
121,Sate Padang Goreng,hewani,100,297.33,17.85
121,Sate Padang Goreng,hewani,200,589.45,43.39
121,Sate Padang Goreng,hewani,300,804.29,65.62
122,Ikan Tongkol Goreng,hewani,100,256.74,22.66
122,Ikan Tongkol Goreng,hewani,200,571.2,38.76
122,Ikan Tongkol Goreng,hewani,300,812.71,87.28
123,Telur Balado Bakar,hewani,100,219.17,21.96
123,Telur Balado Bakar,hewani,200,378.0,36.58
123,Telur Balado Bakar,hewani,300,891.52,81.64
124,Kepiting Balado,hewani,100,267.41,15.86
124,Kepiting Balado,hewani,200,444.45,42.91
124,Kepiting Balado,hewani,300,544.13,54.12
125,Pepes Ikan Tumis,hewani,100,277.38,29.66
125,Pepes Ikan Tumis,hewani,200,363.43,35.9
125,Pepes Ikan Tumis,hewani,300,658.94,66.45
126,Ikan Mujair Kuah,hewani,100,217.39,23.41
126,Ikan Mujair Kuah,hewani,200,416.12,48.39
126,Ikan Mujair Kuah,hewani,300,496.3,65.3
127,Tongseng Kuah,hewani,100,205.74,19.18
127,Tongseng Kuah,hewani,200,405.32,40.61
127,Tongseng Kuah,hewani,300,725.55,75.83
128,Ikan Gurame Rebus,hewani,100,229.48,22.25
128,Ikan Gurame Rebus,hewani,200,390.35,39.81
128,Ikan Gurame Rebus,hewani,300,635.3,51.92
129,Ikan Tongkol Tumis,hewani,100,256.7,22.06
129,Ikan Tongkol Tumis,hewani,200,515.92,45.97
129,Ikan Tongkol Tumis,hewani,300,524.0,57.15
130,Rendang Kuah,hewani,100,186.3,26.85
130,Rendang Kuah,hewani,200,448.65,37.03
130,Rendang Kuah,hewani,300,772.21,80.35
131,Kepiting Tumis,hewani,100,235.06,22.5
131,Kepiting Tumis,hewani,200,317.91,50.88
131,Kepiting Tumis,hewani,300,783.46,50.12
132,Telur Balado Balado,hewani,100,258.73,21.24
132,Telur Balado Balado,hewani,200,561.6,59.27
132,Telur Balado Balado,hewani,300,897.01,78.75
133,Soto Ayam Tumis,hewani,100,164.79,21.96
133,Soto Ayam Tumis,hewani,200,569.56,34.68
133,Soto Ayam Tumis,hewani,300,530.25,56.64
134,Opor Ayam Tumis,hewani,100,262.27,18.96
134,Opor Ayam Tumis,hewani,200,346.68,58.45
134,Opor Ayam Tumis,hewani,300,506.67,69.73
135,Ayam Penyet Bakar,hewani,100,194.58,27.71
135,Ayam Penyet Bakar,hewani,200,350.92,53.58
135,Ayam Penyet Bakar,hewani,300,792.8,64.71
136,Ayam Taliwang Bakar,hewani,100,230.46,24.7
136,Ayam Taliwang Bakar,hewani,200,544.38,38.34
136,Ayam Taliwang Bakar,hewani,300,807.96,60.43
137,Abon Sapi Rebus,hewani,100,231.21,15.58
137,Abon Sapi Rebus,hewani,200,417.6,52.38
137,Abon Sapi Rebus,hewani,300,837.89,88.22
138,Telur Puyuh Kecap,hewani,100,299.56,29.4
138,Telur Puyuh Kecap,hewani,200,477.45,44.41
138,Telur Puyuh Kecap,hewani,300,603.13,74.75
139,Empal Gepuk Goreng,hewani,100,165.56,27.94
139,Empal Gepuk Goreng,hewani,200,515.94,52.48
139,Empal Gepuk Goreng,hewani,300,876.74,76.11
140,Udang Balado Sambal,hewani,100,229.54,15.38
140,Udang Balado Sambal,hewani,200,464.47,36.89
140,Udang Balado Sambal,hewani,300,704.49,65.19
141,Sate Ayam Balado,hewani,100,247.57,20.89
141,Sate Ayam Balado,hewani,200,547.52,33.67
141,Sate Ayam Balado,hewani,300,494.09,54.23
142,Empal Gepuk Kecap,hewani,100,179.61,19.87
142,Empal Gepuk Kecap,hewani,200,599.05,48.96
142,Empal Gepuk Kecap,hewani,300,830.64,74.29
143,Susu Kambing Bakar,hewani,100,201.75,17.48
143,Susu Kambing Bakar,hewani,200,442.26,52.01
143,Susu Kambing Bakar,hewani,300,656.27,67.5
144,Ayam Geprek Tumis,hewani,100,200.39,29.67
144,Ayam Geprek Tumis,hewani,200,553.76,57.41
144,Ayam Geprek Tumis,hewani,300,743.63,51.68
145,Daging Sapi Goreng,hewani,100,221.48,27.65
145,Daging Sapi Goreng,hewani,200,444.73,35.31
145,Daging Sapi Goreng,hewani,300,738.42,87.58
146,Kerang Hijau Bakar,hewani,100,213.64,19.71
146,Kerang Hijau Bakar,hewani,200,460.72,53.75
146,Kerang Hijau Bakar,hewani,300,460.63,89.94
147,Paru Sapi Rebus,hewani,100,281.07,24.58
147,Paru Sapi Rebus,hewani,200,585.01,31.08
147,Paru Sapi Rebus,hewani,300,722.3,77.72
148,Ikan Gurame Tumis,hewani,100,155.59,27.55
148,Ikan Gurame Tumis,hewani,200,435.15,52.69
148,Ikan Gurame Tumis,hewani,300,717.29,60.04
149,Ayam Bakar Bakar,hewani,100,296.86,23.75
149,Ayam Bakar Bakar,hewani,200,415.65,56.67
149,Ayam Bakar Bakar,hewani,300,472.81,51.35
150,Pindang Patin Kuah,hewani,100,200.93,26.06
150,Pindang Patin Kuah,hewani,200,428.02,41.27
150,Pindang Patin Kuah,hewani,300,781.91,65.59
151,Daging Kambing Bakar,hewani,100,157.49,26.37
151,Daging Kambing Bakar,hewani,200,452.89,32.14
151,Daging Kambing Bakar,hewani,300,749.59,86.86
152,Sate Ayam Kuah,hewani,100,297.52,17.05
152,Sate Ayam Kuah,hewani,200,541.66,45.96
152,Sate Ayam Kuah,hewani,300,828.57,79.75
153,Pepes Ikan Kuah,hewani,100,191.67,19.11
153,Pepes Ikan Kuah,hewani,200,491.75,31.7
153,Pepes Ikan Kuah,hewani,300,572.9,69.46
154,Susu Kambing Sambal,hewani,100,185.21,25.66
154,Susu Kambing Sambal,hewani,200,484.27,42.25
154,Susu Kambing Sambal,hewani,300,887.94,76.67
155,Kepiting Sambal,hewani,100,213.14,17.34
155,Kepiting Sambal,hewani,200,339.03,51.01
155,Kepiting Sambal,hewani,300,546.01,77.94
156,Ikan Nila Tumis,hewani,100,185.63,16.17
156,Ikan Nila Tumis,hewani,200,593.72,55.11
156,Ikan Nila Tumis,hewani,300,661.57,64.09
157,Cumi Goreng,hewani,100,191.12,29.9
157,Cumi Goreng,hewani,200,320.6,53.9
157,Cumi Goreng,hewani,300,653.68,64.66
158,Cumi Goreng Tepung Tumis,hewani,100,283.21,20.42
158,Cumi Goreng Tepung Tumis,hewani,200,483.82,42.55
158,Cumi Goreng Tepung Tumis,hewani,300,588.05,87.66
159,Opor Ayam Sambal,hewani,100,291.79,16.69
159,Opor Ayam Sambal,hewani,200,392.45,51.3
159,Opor Ayam Sambal,hewani,300,458.81,53.76
160,Pindang Patin Balado,hewani,100,166.14,28.84
160,Pindang Patin Balado,hewani,200,337.93,35.09
160,Pindang Patin Balado,hewani,300,671.23,62.97
161,Udang Tumis,hewani,100,214.26,18.18
161,Udang Tumis,hewani,200,537.32,37.58
161,Udang Tumis,hewani,300,779.47,85.18
162,Paru Sapi Goreng,hewani,100,211.99,28.12
162,Paru Sapi Goreng,hewani,200,541.27,54.59
162,Paru Sapi Goreng,hewani,300,611.76,62.73
163,Telur Ayam Kuah,hewani,100,239.28,20.07
163,Telur Ayam Kuah,hewani,200,495.01,45.53
163,Telur Ayam Kuah,hewani,300,719.59,60.21
164,Sate Ayam Kecap,hewani,100,161.17,17.06
164,Sate Ayam Kecap,hewani,200,341.8,37.51
164,Sate Ayam Kecap,hewani,300,572.69,69.33
165,Ayam Goreng Kecap,hewani,100,169.8,24.14
165,Ayam Goreng Kecap,hewani,200,465.23,47.32
