No,nama_makanan,kategori,berat_gr,kalori,protein
102,Petai Bening,nabati,200,270.66,9.43
102,Petai Bening,nabati,300,436.99,22.07
103,Sayur Daun Singkong Sayur,nabati,100,103.79,4.96
103,Sayur Daun Singkong Sayur,nabati,200,181.92,18.27
103,Sayur Daun Singkong Sayur,nabati,300,387.69,15.82
104,Tumis Buncis Rebus,nabati,100,108.81,8.33
104,Tumis Buncis Rebus,nabati,200,226.07,10.93
104,Tumis Buncis Rebus,nabati,300,445.04,28.7
105,Kentang Kuah,nabati,100,62.34,8.02
105,Kentang Kuah,nabati,200,152.02,16.2
105,Kentang Kuah,nabati,300,159.28,6.85
106,Sayur Asem Sayur,nabati,100,71.58,7.4
106,Sayur Asem Sayur,nabati,200,142.84,16.61
106,Sayur Asem Sayur,nabati,300,291.77,27.98
107,Pecel Santan,nabati,100,77.8,5.72
107,Pecel Santan,nabati,200,275.5,13.82
107,Pecel Santan,nabati,300,365.15,8.57
108,Wortel Rebus,nabati,100,71.00999999999999,4.64
108,Wortel Rebus,nabati,200,245.59,11.65
108,Wortel Rebus,nabati,300,201.55,8.54
109,Sayur Labu Santan,nabati,100,110.88,4.01
109,Sayur Labu Santan,nabati,200,197.66,5.07
109,Sayur Labu Santan,nabati,300,351.85,27.15
110,Kangkung Bening,nabati,100,126.21,5.34
110,Kangkung Bening,nabati,200,154.47,16.02
110,Kangkung Bening,nabati,300,444.9,8.25
111,Labu Siam Tumis,nabati,100,97.99,7.75
111,Labu Siam Tumis,nabati,200,228.8,16.96
111,Labu Siam Tumis,nabati,300,405.48,8.4
112,Sawi Hijau Kuah,nabati,100,69.03,7.76
112,Sawi Hijau Kuah,nabati,200,144.85,12.75
112,Sawi Hijau Kuah,nabati,300,261.83,23.4
113,Sayur Lodeh Kuah,nabati,100,95.9,6.29
113,Sayur Lodeh Kuah,nabati,200,167.37,9.76
113,Sayur Lodeh Kuah,nabati,300,337.02,23.05
114,Kacang Merah Balado,nabati,100,141.12,2.81
114,Kacang Merah Balado,nabati,200,281.57,7.01
114,Kacang Merah Balado,nabati,300,331.37,28.72
115,Sawi Hijau Bening,nabati,100,140.97,6.88
115,Sawi Hijau Bening,nabati,200,169.75,11.56
115,Sawi Hijau Bening,nabati,300,442.39,7.07
116,Toge Sayur,nabati,100,144.3,8.27
116,Toge Sayur,nabati,200,218.14,6.53
116,Toge Sayur,nabati,300,391.08,27.93
117,Daun Singkong Bening,nabati,100,103.18,2.41
117,Daun Singkong Bening,nabati,200,251.57,18.81
117,Daun Singkong Bening,nabati,300,430.28,9.39
118,Keripik Bayam Santan,nabati,100,88.53,2.61
118,Keripik Bayam Santan,nabati,200,153.77,6.28
118,Keripik Bayam Santan,nabati,300,306.79,21.86
119,Tumis Toge Rebus,nabati,100,130.91,6.91
119,Tumis Toge Rebus,nabati,200,197.11,7.31
119,Tumis Toge Rebus,nabati,300,222.42,18.77
120,Buncis Rebus,nabati,100,100.45,5.43
120,Buncis Rebus,nabati,200,285.81,10.97
120,Buncis Rebus,nabati,300,301.47,20.82
121,Tumis Kangkung Bening,nabati,100,69.53999999999999,9.64
121,Tumis Kangkung Bening,nabati,200,268.13,18.94
121,Tumis Kangkung Bening,nabati,300,295.23,24.59
122,Bakwan Jagung Balado,nabati,100,92.7,3.07
122,Bakwan Jagung Balado,nabati,200,131.07,12.47
122,Bakwan Jagung Balado,nabati,300,335.88,6.92
123,Sambal Goreng Kentang Bening,nabati,100,143.13,6.15
123,Sambal Goreng Kentang Bening,nabati,200,176.06,6.2
123,Sambal Goreng Kentang Bening,nabati,300,354.83,12.29
124,Tumis Toge Sayur,nabati,100,99.51,4.63
124,Tumis Toge Sayur,nabati,200,237.42,14.27
124,Tumis Toge Sayur,nabati,300,278.71,19.92
125,Tumis Buncis Goreng,nabati,100,85.65,6.68
125,Tumis Buncis Goreng,nabati,200,155.84,4.92
125,Tumis Buncis Goreng,nabati,300,150.92,24.41
126,Sayur Lodeh Goreng,nabati,100,94.41,8.46
126,Sayur Lodeh Goreng,nabati,200,115.57,4.31
126,Sayur Lodeh Goreng,nabati,300,293.27,24.96
127,Oseng Tempe Kuah,nabati,100,144.33,7.61
127,Oseng Tempe Kuah,nabati,200,178.51,5.71
127,Oseng Tempe Kuah,nabati,300,253.76,21.14
128,Daun Kelor Bening,nabati,100,85.7,7.55
128,Daun Kelor Bening,nabati,200,273.83,19.59
128,Daun Kelor Bening,nabati,300,261.23,18.16
129,Keripik Singkong Kuah,nabati,100,90.34,2.45
129,Keripik Singkong Kuah,nabati,200,220.36,19.53
129,Keripik Singkong Kuah,nabati,300,364.78,28.12
130,Daun Singkong Santan,nabati,100,98.89,9.95
130,Daun Singkong Santan,nabati,200,175.94,5.83
130,Daun Singkong Santan,nabati,300,255.16,21.27
131,Singkong Sayur,nabati,100,81.2,5.55
131,Singkong Sayur,nabati,200,299.56,4.51
131,Singkong Sayur,nabati,300,158.17,22.12
132,Oseng Tempe Santan,nabati,100,115.17,5.9
132,Oseng Tempe Santan,nabati,200,294.52,16.4
132,Oseng Tempe Santan,nabati,300,275.65,26.0
133,Tumis Buncis Balado,nabati,100,92.53,4.62
133,Tumis Buncis Balado,nabati,200,197.07,7.41
133,Tumis Buncis Balado,nabati,300,278.58,25.66
134,Sayur Lodeh Bening,nabati,100,99.29,5.15
134,Sayur Lodeh Bening,nabati,200,109.77,6.82
134,Sayur Lodeh Bening,nabati,300,298.79,10.42
135,Kacang Panjang Goreng,nabati,100,125.58,3.75
135,Kacang Panjang Goreng,nabati,200,240.99,5.69
135,Kacang Panjang Goreng,nabati,300,318.93,29.36
136,Tumis Toge Goreng,nabati,100,111.95,3.02
136,Tumis Toge Goreng,nabati,200,269.41,4.51
136,Tumis Toge Goreng,nabati,300,163.43,9.5
137,Kacang Tanah Goreng,nabati,100,138.59,9.7
137,Kacang Tanah Goreng,nabati,200,200.24,17.33
137,Kacang Tanah Goreng,nabati,300,276.26,11.03
138,Jengkol Balado,nabati,100,146.74,2.93
138,Jengkol Balado,nabati,200,101.42,13.77
138,Jengkol Balado,nabati,300,366.24,13.83
139,Tempe Goreng Goreng,nabati,100,116.74,8.11
139,Tempe Goreng Goreng,nabati,200,269.37,9.51
139,Tempe Goreng Goreng,nabati,300,296.79,19.1
140,Tumis Toge Tumis,nabati,100,122.29,5.63
140,Tumis Toge Tumis,nabati,200,201.24,9.63
140,Tumis Toge Tumis,nabati,300,203.32,26.08
141,Jengkol Rebus,nabati,100,65.53999999999999,3.68
141,Jengkol Rebus,nabati,200,235.15,6.07
141,Jengkol Rebus,nabati,300,273.5,16.56
142,Kentang Sayur,nabati,100,70.53,6.48
142,Kentang Sayur,nabati,200,234.13,6.56
142,Kentang Sayur,nabati,300,395.16,26.29
143,Kubis Tumis,nabati,100,78.23,2.66
143,Kubis Tumis,nabati,200,179.17,13.25
143,Kubis Tumis,nabati,300,197.48,19.38
144,Kentang Balado,nabati,100,111.45,3.1
144,Kentang Balado,nabati,200,172.33,4.92
144,Kentang Balado,nabati,300,332.15,8.88
145,Petai Rebus,nabati,100,140.84,4.47
145,Petai Rebus,nabati,200,176.35,10.68
145,Petai Rebus,nabati,300,217.37,22.44
146,Gudeg Rebus,nabati,100,93.31,2.01
146,Gudeg Rebus,nabati,200,200.99,5.07
146,Gudeg Rebus,nabati,300,249.84,7.32
147,Tumis Pare Rebus,nabati,100,116.85,6.05
147,Tumis Pare Rebus,nabati,200,197.3,10.73
147,Tumis Pare Rebus,nabati,300,283.02,7.27
148,Tumis Toge Bening,nabati,100,94.28,4.43
148,Tumis Toge Bening,nabati,200,197.1,4.93
148,Tumis Toge Bening,nabati,300,409.95,13.05
149,Oseng Tempe Tumis,nabati,100,90.3,9.01
149,Oseng Tempe Tumis,nabati,200,230.34,15.83
149,Oseng Tempe Tumis,nabati,300,406.81,16.0
150,Sawi Hijau Sayur,nabati,100,108.09,8.42
150,Sawi Hijau Sayur,nabati,200,175.78,19.54
150,Sawi Hijau Sayur,nabati,300,420.38,7.98
151,Bayam Balado,nabati,100,126.39,4.1
151,Bayam Balado,nabati,200,219.56,4.15
151,Bayam Balado,nabati,300,240.78,10.28
152,Daun Pepaya Tumis,nabati,100,96.63,2.73
152,Daun Pepaya Tumis,nabati,200,103.54,7.8
152,Daun Pepaya Tumis,nabati,300,411.92,8.79
153,Singkong Bening,nabati,100,133.36,3.84
153,Singkong Bening,nabati,200,267.18,17.22
153,Singkong Bening,nabati,300,288.56,24.61
154,Tumis Kangkung Rebus,nabati,100,82.82,9.57
154,Tumis Kangkung Rebus,nabati,200,224.6,16.74
154,Tumis Kangkung Rebus,nabati,300,343.86,28.95
155,Wortel Kuah,nabati,100,96.14,2.17
155,Wortel Kuah,nabati,200,291.76,6.07
155,Wortel Kuah,nabati,300,350.31,20.75
156,Gado-Gado Kuah,nabati,100,144.32,5.17
156,Gado-Gado Kuah,nabati,200,255.54,9.67
156,Gado-Gado Kuah,nabati,300,157.92,11.63
157,Sawi Putih Tumis,nabati,100,95.41,8.1
157,Sawi Putih Tumis,nabati,200,225.91,18.29
157,Sawi Putih Tumis,nabati,300,416.7,29.34
158,Daun Bawang Balado,nabati,100,128.05,9.71
158,Daun Bawang Balado,nabati,200,114.54,5.09
158,Daun Bawang Balado,nabati,300,233.36,27.44
159,Kacang Hijau Rebus,nabati,100,99.94,4.43
159,Kacang Hijau Rebus,nabati,200,162.8,11.3
159,Kacang Hijau Rebus,nabati,300,277.48,10.43
160,Talas Goreng,nabati,100,131.05,3.35
160,Talas Goreng,nabati,200,146.44,8.18
160,Talas Goreng,nabati,300,313.5,10.18
161,Talas Balado,nabati,100,139.59,9.56
161,Talas Balado,nabati,200,106.86,11.81
161,Talas Balado,nabati,300,305.75,9.74
162,Singkong Kuah,nabati,100,131.24,6.93
162,Singkong Kuah,nabati,200,169.53,5.15
162,Singkong Kuah,nabati,300,219.19,24.7
163,Kentang Rebus,nabati,100,75.78,7.61
163,Kentang Rebus,nabati,200,265.75,6.85
163,Kentang Rebus,nabati,300,240.41,28.57
164,Petai Balado,nabati,100,146.46,5.24
164,Petai Balado,nabati,200,215.18,18.11
164,Petai Balado,nabati,300,327.05,17.93
165,Jagung Manis Bening,nabati,100,127.75,8.41
165,Jagung Manis Bening,nabati,200,169.27,7.5
165,Jagung Manis Bening,nabati,300,395.21,27.07
166,Bakwan Jagung Rebus,nabati,100,96.25,2.23
166,Bakwan Jagung Rebus,nabati,200,225.47,10.5
166,Bakwan Jagung Rebus,nabati,300,293.7,17.59
167,Sayur Labu Bening,nabati,100,110.39,6.87
167,Sayur Labu Bening,nabati,200,205.91,13.54
167,Sayur Labu Bening,nabati,300,446.21,22.35
168,Rebung Kuah,nabati,100,75.0,8.26
168,Rebung Kuah,nabati,200,190.73,10.0
168,Rebung Kuah,nabati,300,294.76,7.5
169,Kacang Tanah Rebus,nabati,100,89.99,7.6
169,Kacang Tanah Rebus,nabati,200,244.96,9.08
169,Kacang Tanah Rebus,nabati,300,186.1,7.81
170,Daun Pepaya Balado,nabati,100,136.42,8.05
